qdate,ir,fx,cci,gdp,wti,cpi,bci,loggdp,logwti
1986 Q1,12.45,1.44,99.47,275127,17,5.85,100.45,12.52,2.83
1986 Q2,10.22,1.51,99.49,277167,13.92,4.07,99.73,12.53,2.63
1986 Q3,10.04,1.49,100.04,278438,13.86,3.7,99.73,12.54,2.63
1986 Q4,11.27,1.43,100.53,283425,15.38,4.54,100.89,12.55,2.73
1987 Q1,10.67,1.54,101.5,286089,18.23,4.85,102.01,12.56,2.90
1987 Q2,9.21,1.64,102.59,290275,19.36,4.66,103.11,12.58,2.96
1987 Q3,9.85,1.62,102.45,297303,20.39,4.97,103.74,12.60,3.02
1987 Q4,9,1.75,102.07,300606,18.67,4.71,104.38,12.61,2.93
1988 Q1,9.03,1.8,101.87,305824,16.71,4.03,104.25,12.63,2.82
1988 Q2,8.47,1.84,101.81,307500,17.28,4.93,103.96,12.64,2.85
1988 Q3,11.4,1.7,101.27,312065,15.16,6.04,104.01,12.65,2.72
1988 Q4,12.51,1.79,100.21,314663,14.68,7.32,103.67,12.66,2.69
1989 Q1,13.1,1.75,99.41,315946,18.42,8.62,102.34,12.66,2.91
1989 Q2,13.53,1.63,98.59,317925,20.36,8.73,101.29,12.67,3.01
1989 Q3,13.98,1.6,98.33,318139,19.25,8.17,100.89,12.67,2.96
1989 Q4,15.12,1.58,97.72,318355,20.33,7.72,100.11,12.67,3.01
1990 Q1,15.22,1.66,97.11,320418,21.72,7.76,99.43,12.68,3.08
1990 Q2,15.15,1.68,96.21,321991,17.9,10.19,99.2,12.68,2.88
1990 Q3,14.98,1.86,96.77,318578,26.5,10.72,98.23,12.67,3.28
1990 Q4,13.87,1.95,97.72,317429,31.85,10.06,96.58,12.67,3.46
1991 Q1,13.26,1.91,98.44,316429,21.78,9.11,95.08,12.66,3.08
1991 Q2,11.63,1.71,99.37,315958,20.75,5.66,95.26,12.66,3.03
1991 Q3,10.8,1.69,99.75,315193,21.66,4.46,96.39,12.66,3.08
1991 Q4,10.61,1.77,100.39,315669,21.74,4.14,97.2,12.66,3.08
1992 Q1,10.6,1.77,100.47,315631,18.91,3.91,96.89,12.66,2.94
1992 Q2,10.27,1.81,101.04,315196,21.19,4.62,97.96,12.66,3.05
1992 Q3,10.22,1.9,98.45,317131,21.67,4.39,96.79,12.67,3.08
1992 Q4,7.63,1.58,97.1,319248,20.48,3.54,96.74,12.67,3.02
1993 Q1,6.42,1.48,98.3,321451,19.83,1.8,98.23,12.68,2.99
1993 Q2,6.01,1.53,98.54,322977,19.76,0.99,99.55,12.69,2.98
1993 Q3,5.96,1.5,99.12,325512,17.8,1.24,99.8,12.69,2.88
1993 Q4,5.6,1.49,98.63,327688,16.45,1.54,100.12,12.70,2.80
1994 Q1,5.31,1.49,97.97,331506,14.81,2.67,100.62,12.71,2.70
