pid,wave,rfinc,jbhrs,jbsat2x,jbsat4x,jbsat6x,jbsat7x,jbsat,age,union,unionm,jobop,ten,soc1x,soc2x,soc3x,soc4x,soc5x,soc6x,soc7x,soc8x,soc9x,reg1x,reg2x,reg3x,reg4x,reg5x,reg6x,reg7x,reg8x,reg9x,reg10x,reg11x,reg12x,hourlypay,logpay,female,sest,mest,lest,npermj,parth
10007857,2,19731.598,54,5,not satis/dissat       ,6,3,5,59,,,,2,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8882743,0.63566333,1,1,0,0,0,0
10014608,1,40067.777,40,6,6,completely satis       ,completely satis       ,6,57,0.0,0.0,0.0,6,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.271998,2.6582994,0,0,0,1,0,0
10014608,2,43806.582,42,6,6,6,6,6,58,0.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.657509,2.6142895,0,0,1,0,0,0
10014608,3,42772.035,40,6,6,6,6,6,59,0.0,0.0,1.0,9,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.388252,2.7336044,0,0,0,1,0,0
10014608,5,56064.785,42,6,6,6,6,6,61,0.0,,0.0,11,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.489396,2.7401557,0,0,0,1,0,0
10014608,6,19042.652,37,6,6,6,6,6,62,1.0,0.0,0.0,12,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.699429,2.8735323,0,0,0,1,0,0
10014608,8,57397.387,43,6,completely satis       ,completely satis       ,completely satis       ,completely satis       ,64,0.0,,0.0,14,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.825732,2.7616372,0,0,0,1,0,0
10016848,2,8148.1777,29,5,6,not satis/dissat       ,3,5,33,0.0,0.0,1.0,2,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5304713,1.2614313,1,0,1,0,0,1
10016848,4,13451.589,30,6,completely satis       ,6,completely satis       ,completely satis       ,35,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.723571,1.3146832,1,0,0,1,0,1
10016872,11,12635.9375,45,completely satis       ,5,6,6,6,19,1.0,0.0,1.0,4,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5121264,1.5067686,0,0,1,0,0,0
10016872,12,19487.596,45,6,6,6,6,6,21,1.0,0.0,1.0,4,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.540295,1.512992,0,0,1,0,0,0
10017968,1,13977.37,35,not satis/dissat       ,not satis at all       ,6,2,5,46,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6141086,2.0300028,0,1,0,0,0,0
10017968,2,19081.012,40,3,3,6,3,6,46,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11183,1.9617597,0,1,0,0,0,0
10017968,3,19130.578,37,3,3,5,2,not satis/dissatis     ,48,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.42888,2.1316638,0,1,0,0,0,0
10017968,4,16373.814,45,3,not satis/dissat       ,6,2,6,49,0.0,0.0,0.0,17,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.232663,1.8298037,0,1,0,0,0,0
10017992,12,4574.452,40,3,6,3,completely satis       ,not satis/dissatis     ,23,,,,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.276772,1.1868588,1,1,0,0,0,0
10017992,14,18229.67,35,completely satis       ,6,6,completely satis       ,completely satis       ,25,1.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.210251,1.9755038,1,0,0,1,0,0
10017992,15,17426.205,35,6,6,6,6,6,26,1.0,0.0,1.0,2,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.440477,2.006935,1,1,1,0,0,0
10017992,16,14165.078,36,2,2,2,2,2,27,1.0,0.0,1.0,0,0,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0110493,1.9474874,1,0,0,1,0,0
10017992,17,16200.444,36,6,5,6,6,6,28,1.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.411638,2.241947,1,0,0,1,1,0
10020209,1,21929.588,37,not satis at all       ,not satis at all       ,completely satis       ,not satis/dissatis     ,5,50,0.0,0.0,0.0,3,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0287476,1.3934555,1,1,0,0,0,0
10023526,1,7610.8438,39,5,5,5,5,6,38,1.0,0.0,1.0,3,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7453182,1.3205066,1,0,0,1,0,0
10023526,2,20332.572,39,5,5,3,6,5,39,1.0,0.0,1.0,2,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0729423,1.4043657,1,0,0,1,0,0
10023526,7,23708.705,39,5,5,6,6,5,44,1.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8981972,1.0640888,1,0,0,1,0,0
